number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
39,0.0,2025-07-01 20:15:36.478854,2025-07-01 20:15:36.697675,0 days 00:00:00.218821,0.7371462892861864,3,0.9188244259844971,9.47137906732765,5.557471959467853,0.21222299187051064,4,10,129,COMPLETE
40,0.0,2025-07-01 20:15:36.697675,2025-07-01 20:15:36.915404,0 days 00:00:00.217729,0.6048764558879492,1,0.7846571586314701,0.6162031740579064,7.257445116590928,0.05198302781935732,10,19,84,COMPLETE
41,0.0,2025-07-01 20:15:36.916405,2025-07-01 20:15:37.165793,0 days 00:00:00.249388,0.4941021850203969,4,0.5144537947173284,9.115643828941913,2.4797950004849705,0.10762408040870405,4,7,105,COMPLETE
42,0.0,2025-07-01 20:15:37.166792,2025-07-01 20:15:37.404097,0 days 00:00:00.237305,0.5457267907023947,2,0.7121026650468694,8.532245951708676,4.051516529605818,0.1342921165883696,6,5,47,COMPLETE
43,0.0,2025-07-01 20:15:37.404097,2025-07-01 20:15:37.604583,0 days 00:00:00.200486,0.4597807327224742,5,0.4405220882617476,9.636747525708342,1.7798016662816076,0.08809079171602548,3,12,195,COMPLETE
44,0.0,2025-07-01 20:15:37.604583,2025-07-01 20:15:37.802931,0 days 00:00:00.198348,0.5691417014149025,2,0.6406486136775655,7.884334496839835,2.7347927257880986,0.0627062981779422,14,27,125,COMPLETE
45,0.0,2025-07-01 20:15:37.802931,2025-07-01 20:15:37.971552,0 days 00:00:00.168621,0.5134304923852736,3,0.8151518886699508,4.2948816905796825,5.139692454025156,0.11422611121472553,3,24,87,COMPLETE
46,0.0,2025-07-01 20:15:37.972553,2025-07-01 20:15:38.147280,0 days 00:00:00.174727,0.8340259082521155,4,0.8501913752829442,5.495312657739218,8.561941137967802,0.24336618057064008,4,17,54,COMPLETE
47,0.0,2025-07-01 20:15:38.147280,2025-07-01 20:15:38.347708,0 days 00:00:00.200428,0.667538216134108,6,0.9492615383348858,9.962860324422826,4.556767618526838,0.29798215010771406,11,10,267,COMPLETE
48,0.0,2025-07-01 20:15:38.347708,2025-07-01 20:15:38.529218,0 days 00:00:00.181510,0.42096716721445365,2,0.5128753810892277,6.424218605264619,1.1306282925329247,0.1418689101868712,6,31,146,COMPLETE
49,0.0,2025-07-01 20:15:38.530217,2025-07-01 20:15:38.707102,0 days 00:00:00.176885,0.597876228645185,6,0.5861459826920551,8.712711222022277,0.20323646094238335,0.1804892664511068,5,63,163,COMPLETE
50,0.0,2025-07-01 20:15:38.708103,2025-07-01 20:15:38.890276,0 days 00:00:00.182173,0.47416060752707223,3,0.746804803177259,7.562196284758347,3.47675743748797,0.07125957809364941,9,42,212,COMPLETE
51,0.0,2025-07-01 20:15:38.890276,2025-07-01 20:15:39.070070,0 days 00:00:00.179794,0.5089693831514931,7,0.6809177479408399,9.346488227387121,9.20497810241181,0.03460182826317951,7,95,232,COMPLETE
52,0.0,2025-07-01 20:15:39.071069,2025-07-01 20:15:39.261665,0 days 00:00:00.190596,0.9928681650994919,6,0.7662449964941856,8.210501352006256,8.395338433771414,0.045264804556252265,8,81,181,COMPLETE
53,0.0,2025-07-01 20:15:39.262665,2025-07-01 20:15:39.439112,0 days 00:00:00.176447,0.5559397756214216,5,0.7987513581020532,9.185489476152945,5.412764899510964,0.057176102015547015,12,75,208,COMPLETE
54,0.0,2025-07-01 20:15:39.440111,2025-07-01 20:15:39.634938,0 days 00:00:00.194827,0.45080585728895345,4,0.9995506665694158,8.757977828036683,4.035414899503927,0.1035545270821697,4,86,189,COMPLETE
