feature,importance_weight,importance_gain,importance_cover,importance_weight_norm,importance_gain_norm,importance_cover_norm
SwitchingEventsPerYear,0.004068383,0.43082213401794434,40.84035110473633,0.004068383,0.004068383220807441,0.009960928386698572
LastFCITriggerRecencyDays,0.004065909,0.4305601418018341,29.63791275024414,0.004065909,0.004065909149370897,0.007228662791837876
SensitiveCustomerCount,0.003856023,0.40833422541618347,35.44937515258789,0.003856023,0.0038560231241401596,0.008646073740712506
MaterialInstallationType_1_0,0.003811015,0.4035680890083313,42.68732452392578,0.003811015,0.0038110150619755133,0.01041140370003515
FailureImpactScore,0.003805336,0.40296670794487,30.29758071899414,0.003805336,0.003805336039393551,0.007389555272386498
CriticalityScore,0.0037666287,0.39886778593063354,33.143157958984375,0.0037666287,0.00376662868378349,0.008083589244662386
EstimatedDowntimeCostPerFailure,0.0037289541,0.39487823843955994,33.961753845214844,0.0037289541,0.0037289541847508514,0.008283244114902766
MaterialType_1,0.0035033773,0.3709907531738281,31.53350067138672,0.0035033773,0.003503377463944904,0.007690995142624211
FailureRootCauseMajorCategory_2,0.003277481,0.3470694124698639,25.101016998291016,0.003277481,0.0032774810360348826,0.00612211761138077
MaterialInstallationType_0_1,0.0032690633,0.3461780250072479,51.910980224609375,0.0032690633,0.0032690633956450462,0.01266104581654032
FailureRootCauseMajorCategory_1,0.0030608412,0.32412829995155334,23.264070510864258,0.0030608412,0.003060841198230582,0.0056740878585382825
InstallationType_1,0.0030460218,0.3225589990615845,25.68808937072754,0.0030460218,0.003046021817086897,0.006265304085087928
MaterialInstallationType_1_2,0.0025997604,0.27530208230018616,119.04825592041016,0.0025997604,0.002599760513318417,0.029035772702919953
