timestamp,model_name,status,ensemble_type,base_models,test_accuracy,test_f1,test_precision,test_recall,test_roc_auc,train_accuracy,train_f1,train_precision,train_recall,train_roc_auc,training_time,memory_usage,complexity_flagged,reason
2025-08-13T11:49:37.064217,lightgbm_solo,completed,none,['lightgbm'],,False,0.8292134831460675,0.8320721511296644,0.8369389728750376,0.8292134831460675,0.8949954904433741,0.9524968789013732,0.953630652164501,0.9593968363874911,0.9524968789013732,0.9953984338378236,2.6267011165618896,0
2025-08-13T11:49:46.069937,lightgbm_randomforest,completed,voting,"['lightgbm', 'randomforest']",,False,0.8164794007490637,0.8211668774054035,0.8293469974006263,0.8164794007490637,0.8946349468718011,0.9436329588014981,0.9451800602332517,0.9529218298899641,0.9436329588014981,0.9934398868363623,3.4692530632019043,0
2025-08-13T11:50:00.351560,xgboost_randomforest,completed,voting,"['xgboost', 'randomforest']",,False,0.8459425717852684,0.8332780778743561,0.8382554276618354,0.8459425717852684,0.8907799791470913,0.952996254681648,0.9519579081140207,0.9536452581726886,0.952996254681648,0.993057579330732,6.431646347045898,0
2025-08-13T11:50:33.818622,xgboost_solo,completed,none,['xgboost'],,False,0.8439450686641697,0.8293294545451663,0.8359883132521183,0.8439450686641697,0.8935191957300791,0.9562421972534332,0.9551625808084199,0.9572128080829403,0.9562421972534332,0.9956310620382156,5.23000955581665,0
2025-08-13T11:51:22.033966,lightgbm_xgboost_ensemble,completed,stacking,"['lightgbm', 'xgboost']",,False,0.7800249687890137,0.7945812591045515,0.829311338025736,0.7800249687890137,0.8915238032193048,0.901498127340824,0.9065882462129274,0.9304238191720924,0.901498127340824,0.9965460014326646,32.368162631988525,0.09999999999999964
2025-08-13T12:01:11.847669,lightgbm_advancedsvm,completed,stacking,"['lightgbm', 'advancedsvm']",,True,0.7480649188514357,0.7675327020462045,0.8209918918982213,0.7480649188514357,0.8882697573240489,0.8704744069912609,0.8787104178761785,0.9170663082050582,0.8704744069912609,0.9951341212198429,537.3458580970764,1.0
2025-08-13T12:14:57.145196,lightgbm_advancedsvm_randomforest,completed,stacking,"['lightgbm', 'advancedsvm', 'randomforest']",,True,0.7478152309612984,0.7673959405564392,0.8210597077732564,0.7478152309612984,0.8896186490768232,0.8662921348314607,0.8749661665867129,0.9154220705532005,0.8662921348314607,0.9938644284652284,537.4386796951294,0.10000000000000142
2025-08-13T12:25:10.700568,xgboost_advancedsvm_randomforest,completed,stacking,"['xgboost', 'advancedsvm', 'randomforest']",,True,0.7932584269662921,0.8052501913109378,0.8291579383149623,0.7932584269662921,0.8879679743428713,0.9109238451935081,0.915538096329831,0.9334957044521855,0.9109238451935081,0.9942552624797132,555.6295809745789,0.09999999999999964
2025-08-13T12:25:17.683965,naivebayes_solo,completed,none,['naivebayes'],,False,0.19275905118601747,0.19584171145447493,0.5811472489035218,0.19275905118601747,0.500347253517116,0.2636704119850187,0.23007771785765466,0.7910810886309817,0.2636704119850187,0.5794763761454292,0.8364183902740479,1.0999999999999996
2025-08-13T12:25:22.919632,logisticregression_solo,completed,none,['logisticregression'],,False,0.5423220973782772,0.5765303162701879,0.6872290345859832,0.5423220973782772,0.6841857171802075,0.6380774032459425,0.6635129744174632,0.7884282964216114,0.6380774032459425,0.8314315534559387,0.6698668003082275,0
2025-08-13T12:26:27.814302,knn_solo,completed,none,['knn'],,False,0.7225967540574282,0.680048267058239,0.6747885289340371,0.7225967540574282,0.644216178094306,0.8017478152309613,0.7727450660698357,0.7947647095085266,0.8017478152309613,0.8638852590129859,0.013829231262207031,0
2025-08-13T12:26:33.423431,ridge_solo,completed,none,['ridge'],,False,0.5423220973782772,0.5765303162701879,0.6872290345859832,0.5423220973782772,0.6841857171802075,0.6380774032459425,0.6635129744174632,0.7884282964216114,0.6380774032459425,0.8314315534559387,0.6727278232574463,0
2025-08-13T12:26:40.355184,sgd_solo,completed,none,['sgd'],,False,0.7305867665418228,0.7248386927935654,0.7203738798210813,0.7305867665418228,0.7205548466376167,0.7725967540574282,0.7690096437390899,0.7664266333337897,0.7725967540574282,0.8023600632867476,1.367039680480957,0
2025-08-13T12:27:53.364454,xgboost_lightgbm_naivebayes,completed,voting,"['xgboost', 'lightgbm', 'naivebayes']",,False,0.7997503121098627,0.8063463234912875,0.8156297670258699,0.7997503121098627,0.8574154226328049,0.936079900124844,0.9384499370914163,0.948114984321519,0.936079900124844,0.994351903875941,60.34214639663696,1.0999999999999996
2025-08-13T12:28:08.728100,lightgbm_randomforest_naivebayes,completed,voting,"['lightgbm', 'randomforest', 'naivebayes']",,False,0.38526841448189764,0.41503531448187875,0.7384427305160822,0.38526841448189764,0.811123153222776,0.46779026217228464,0.4824623217864387,0.8229768843424081,0.46779026217228464,0.9797641145076584,9.008669376373291,0.7999999999999989
2025-08-13T12:29:19.550228,xgboost_randomforest_naivebayes,completed,voting,"['xgboost', 'randomforest', 'naivebayes']",,False,0.47191011235955055,0.5247263279658653,0.7398369953087975,0.47191011235955055,0.8052521316316974,0.5760923845193509,0.6119752307719128,0.835087548217818,0.5760923845193509,0.9778731406404731,59.78928780555725,1.0
2025-08-13T12:34:35.010485,randomforest_knn_naivebayes,completed,voting,"['randomforest', 'knn', 'naivebayes']",,False,0.3588014981273408,0.41663078992775476,0.652164163179157,0.3588014981273408,0.6497255224418633,0.47503121098626716,0.514901235115934,0.8120730095874155,0.47503121098626716,0.8913377648108627,6.464851140975952,1.299999999999999
