model_name,accuracy_test,accuracy_train,weighted_f1_test,weighted_f1_train,weighted_precision_test,weighted_precision_train,weighted_recall_test,weighted_recall_train,roc_auc_ovr_test,roc_auc_ovr_train,training_time_test,training_time_train,memory_usage_test,memory_usage_train,cohens_kappa_test,cohens_kappa_train,matthews_corrcoef_test,matthews_corrcoef_train,log_loss_test,log_loss_train,confidence_mean_test,confidence_mean_train,confidence_std_test,confidence_std_train,prediction_entropy_test,prediction_entropy_train,ensemble_size,ensemble_type,family,is_ensemble,is_boosting,is_parametric,overfit_gap_f1,underfit_score_f1,brier_approx,z_time,z_mem,complexity_score,co2_proxy,cluster,tradeoff_score,complexity_reason
tabflex_parametric,0.1612983770287141,0.1612983770287141,0.0448070314171358,0.0448070314171358,0.8275366746117266,0.8275366746117266,0.1612983770287141,0.1612983770287141,0.5,0.5,15013.775729894638,15013.775729894638,4.400000000000006,4.400000000000006,0.0,0.0,0.0,0.0,1.0986122886681096,1.0986122886681096,0.3333333333333332,0.3333333333333332,5.551115123125783e-17,5.551115123125783e-17,1.0986122886681091,1.0986122886681091,1,parametric,neural_networks,True,False,True,0.0,0.0448070314171358,1.584962500721156,13.733756636196876,1.7369114465711222,15.470668082767999,232273.1409863178,1,-53962.791255179465,High time/memory with marginal F1 gain
advancedsvm_parametric,0.5772784019975031,0.5923845193508115,0.6062984364868805,0.6202162867362593,0.7384144189431137,0.7622662641630542,0.5772784019975031,0.5923845193508115,0.7758834504320093,0.8393291579760204,7536.646776199341,7536.646776199341,0.0,0.0,0.2989397967064836,0.3306250668027359,0.3440503504230315,0.3833681484501086,0.8937925619304337,0.8486311484624348,0.5926900259739525,0.5892642911193555,0.1025800358392677,0.103610439914244,0.8972903778044847,0.8997903855357794,1,parametric,kernel_methods,True,False,True,0.01391785024937875,0.6062984364868805,1.2894700966804784,6.773454012304975,-0.6123580329326753,6.161095979372299,46434.00415079096,2,-13054.517919821375,High time/memory with marginal F1 gain
xgboost_neuralnetwork_naivebayes,0.800749063670412,0.9284019975031212,0.7925860415746387,0.9285281332008586,0.7888021054938263,0.9311841766521836,0.800749063670412,0.9284019975031212,0.8076878863371143,0.9781272573212508,44.30122756958008,44.30122756958008,9.900000000000006,9.900000000000006,0.4941938142685269,0.8319882351331915,0.4980238054802556,0.8327994900923712,0.7019607805471625,0.5131584405878233,0.6062065173027442,0.626849984129341,0.1368938247970834,0.1329179856448625,0.7628653048393786,0.734708372977429,3,none,mixed,True,False,False,0.13594209162621984,0.7925860415746387,1.0127153369939372,-0.20101342087468138,4.673498295950866,4.9724848750761845,220.28718403704502,0,-68.3854645506244,High time/memory with marginal F1 gain
advancedsvm_cv,0.7425717852684145,0.7480024968789014,0.644983157188089,0.6550530315465369,0.665177906577488,0.7623089730629367,0.7425717852684145,0.7480024968789014,0.7821084709349093,0.8933656198752752,632.8908066749573,632.8908066749573,9.1,9.1,0.0589631252281853,0.0857681376651865,0.1443251590906219,0.1892594908928997,0.5823759345910502,0.489457818428566,0.7343173941816409,0.7329256707447543,0.126120615447501,0.1264423845764742,0.6399383904111129,0.6428685777917998,1,none,kernel_methods,False,False,False,0.010069874358447972,0.644983157188089,0.8401908727675834,0.34689228159657426,4.246358390586536,4.59325067218311,2907.0261231782583,3,-899.9356448159423,High time/memory with marginal F1 gain
deepgbm_randomforest_naivebayes,0.1927590511860174,0.2636704119850187,0.1958417114544749,0.2300777178576546,0.5811472489035218,0.7910810886309817,0.1927590511860174,0.2636704119850187,0.7095776622470054,0.8602360391944203,428.5585408210754,428.5585408210754,7.5,7.5,-0.0011679370543398,0.1075868177163935,-0.0019116832883477,0.1855876518635519,1.0967054075125289,0.9911013742925672,0.5313160159453995,0.537420953024603,0.0579625871591408,0.0647096719420475,0.9911546275006248,0.9843385096261372,3,none,mixed,True,False,False,0.0342360064031797,0.1958417114544749,1.582211452734435,0.15668365807595486,3.3920785798578836,4.048762237933838,1735.1316368203973,3,-563.3597560631626,High time/memory with marginal F1 gain
deepgbm_advancedsvm_voting,0.784769038701623,0.8765293383270911,0.7488923832040068,0.860631903970113,0.7636371816871614,0.8874076253062118,0.784769038701623,0.8765293383270911,0.783864302524388,0.9351829676140232,1553.006010055542,1553.006010055542,4.700000000000003,4.700000000000003,0.363475905983582,0.6520216878451952,0.3994205583991327,0.6873474608259458,0.6457180519189052,0.5476350178689476,0.6431098796243389,0.6443589922247757,0.0858771897030708,0.0859868405440018,0.861311893080455,0.8598218175702969,2,voting,mixed,True,False,False,0.11173952076610627,0.7488923832040068,0.9315742313158868,1.2034082389959224,1.8970889110827431,3.3504971500786658,5203.342210746133,4,-1817.8325547937936,High time/memory with marginal F1 gain
deepgbm_advancedsvm_stacking,0.7875156054931336,0.8799625468164795,0.7567938017440741,0.8650414286407407,0.7696405305135873,0.8905583198698025,0.7875156054931336,0.8799625468164795,0.7832550752168324,0.9364429916136654,1336.6338007450104,1336.6338007450104,5.0,5.0,0.382049332271582,0.6629234358528564,0.4130655129053287,0.6971138859359238,0.64552571387362,0.5457191842364753,0.6422704704324408,0.6440852655500466,0.0873168340613558,0.086233948240916,0.861544485835326,0.8599648265990826,2,stacking,mixed,True,False,False,0.10824762689666667,0.7567938017440741,0.9312967461717796,1.0019918844662754,2.057266375594364,3.3092582600606395,4423.266445791673,4,-1553.7133957290957,High time/memory with marginal F1 gain
deepgbm_advancedsvm_randomforest,0.7882646691635455,0.8797128589263421,0.7600234937596065,0.8659875142484638,0.7678088690516702,0.8896308154835961,0.7882646691635455,0.8797128589263421,0.7989126817408587,0.9298185536281256,1679.4832775592804,1679.4832775592804,3.0999999999999943,3.0999999999999943,0.3915818506428247,0.6632130994219214,0.4190202226121559,0.6960993956630022,0.7230732044921931,0.6578846751230369,0.5535428315488115,0.5565650307163186,0.0576026627027596,0.0545529762063659,0.9745282356054444,0.9729879355673396,3,none,mixed,True,False,False,0.10596402048885722,0.7600234937596065,1.0431741263205785,1.3211432763773336,1.042809100354086,2.8639523767314197,4809.960124446576,4,-1801.9036401751957,High time/memory with marginal F1 gain
mixture_of_experts_xgboost_naivebayes,0.7712858926342072,0.9978776529338328,0.7670560141076146,0.9978823028446192,0.7641011229383198,0.9979022376371676,0.7712858926342072,0.9978776529338328,0.8022353918956978,0.9999189852368968,302.8737783432007,302.8737783432007,5.5,5.5,0.4382020407131929,0.9949940971004732,0.4391656101034811,0.9950082093631898,0.7175482452684654,0.3617626679588531,0.6503749456270154,0.708698989946375,0.142295475729663,0.1375517424381081,0.6842573035783144,0.5979454879420282,2,none,mixed,True,False,False,0.23082628873700461,0.7670560141076146,1.0352032950473926,0.039686347012375854,2.324228816447068,2.6139151634594437,791.6863618255468,3,-310.6571055226021,High time/memory with marginal F1 gain
ngboost_advancedsvm,0.8074906367041198,0.8056803995006242,0.7562910576993241,0.7542536216208675,0.8340791134369709,0.8295738586258568,0.8074906367041198,0.8056803995006242,0.8409057222823886,0.9163799056989628,768.6487138271332,768.6487138271332,4.6000000000000085,4.6000000000000085,0.3907825891377432,0.3887839710308399,0.4714863679051932,0.4637348609113155,0.5385987643056909,0.4768593844457823,0.7502879555875748,0.748903036529694,0.1195476109067549,0.1215484624521293,0.6480562909426381,0.6496819723915667,2,none,mixed,True,False,False,-0.0020374360784566337,0.7542536216208675,0.7770337662927439,0.47326647190639537,1.8436964229122053,2.5669628948186007,1973.092727544292,3,-779.5666113647258,High time/memory with marginal F1 gain
