family,mean_f1,std_f1,min_f1,max_f1,ci95_low,ci95_high,mean_acc,mean_time,mean_mem,n
tree_boosting,0.8058465417465506,0.06791498766344017,0.6040481392949081,0.8401416550785201,0.8032489869613729,0.8204522915616189,0.809465440926115,26.688976114446465,0.0954545454545455,22
probabilistic_boosting,0.773160743127124,0.0014845723587479126,0.7722452569629183,0.7748736232139873,0.7723239851239502,0.7739138253299803,0.7950894714939659,81.92508753140767,0.0,3
traditional_boosting,0.7696254213833708,0.1262748928335182,0.4389794693612047,0.8315838333532751,0.7302662413084171,0.7694576437247106,0.788582453750993,155.5421348701824,0.6545454545454542,11
advanced_ensemble,0.7540686891835942,0.006928074037290684,0.7477415566133353,0.7643531193168143,0.7495753998731256,0.7556538196528654,0.772983770287141,300.9748302221298,1.1,5
mixed,0.7057910456468075,0.19874037325967508,0.1958417114544749,0.8404519638695059,0.6982502787466212,0.7066715221785786,0.7102943609644571,221.35587997608874,1.4915662650602413,166
tree_bagging,0.6457684336667037,0.045963858718452745,0.5935345380333421,0.6800334744205202,0.6414227841002313,0.6740582062666206,0.618809821057012,5.0774829387664795,0.0333333333333338,3
kernel_methods,0.6353231031338575,0.025600157608557175,0.6062984364868805,0.6546877157266032,0.6075879271769208,0.6472520046288373,0.6878069080316273,2876.3438292344413,3.033333333333333,3
linear_models,0.6099717105786302,0.07333688275392115,0.5097509737167742,0.7268573493662197,0.5986171608542121,0.6221829559987646,0.5872133517313883,1.7433278309671503,0.12105263157894759,19
instance_based,0.5960634478514375,0.15067390647439358,0.4221144594072872,0.6860276170887863,0.5960634478514374,0.6818420720674031,0.6214731585518102,12.88323942820231,0.7333333333333343,3
neural_networks,0.5756596715679393,0.26570919414948124,0.0448070314171358,0.747512241494319,0.5911601885567689,0.702819694000177,0.6409488139825218,2624.4028679529824,2.550000000000002,6
probabilistic,0.3315831084426419,0.23511099627388218,0.1958417114544749,0.6030659024189758,0.2094158511532916,0.5894917627201591,0.3503121098626716,3.2817017237345376,1.3999999999999986,3
other,0.3245002384434713,0.33976354572361755,0.0448070314171358,0.8395461431425876,0.3083768875602129,0.4292649981904897,0.4164080613518816,133.99464520386286,0.021428571428571724,14
