model_name,dataset_type,accuracy,weighted_f1,weighted_precision,weighted_recall,roc_auc_ovr
advancedsvm_parametric,test,0.5772784019975031,0.6062984364868805,0.7384144189431137,0.5772784019975031,0.7758834504320093
advancedsvm_parametric,train,0.5923845193508115,0.6202162867362593,0.7622662641630542,0.5923845193508115,0.8393291579760204
advancedsvm_solo,test,0.7435705368289638,0.6546877157266032,0.6675356038545511,0.7435705368289638,0.7792214672477323
advancedsvm_solo,train,0.7548064918851436,0.6719745716158522,0.7735573123318117,0.7548064918851436,0.9117028885277436
catboost_advancedsvm_randomforest,test,0.8314606741573034,0.8067781931843581,0.8311927334367634,0.8314606741573034,0.8638518782348509
catboost_advancedsvm_randomforest,train,0.8478152309612984,0.8283059949925979,0.8520406302423319,0.8478152309612984,0.9278125214351418
catboost_logisticregression,test,0.8064918851435705,0.7994246007943017,0.7957788549358882,0.8064918851435705,0.8326029349677371
catboost_logisticregression,train,0.8452559300873907,0.8420212802552999,0.8402926461373579,0.8452559300873907,0.915630651135118
catboost_naivebayes,test,0.1927590511860174,0.1958417114544749,0.5811472489035218,0.1927590511860174,0.779261319307782
catboost_naivebayes,train,0.2636704119850187,0.2300777178576546,0.7910810886309817,0.2636704119850187,0.8963834342930578
catboost_neuralnetwork,test,0.818227215980025,0.7873758266433615,0.8190038934944692,0.818227215980025,0.8594607223903689
catboost_neuralnetwork,train,0.8426966292134831,0.8195249952249706,0.8494921858283688,0.8426966292134831,0.9149125409953364
catboost_parametric,test,0.7947565543071161,0.8041683169287432,0.8222883632064414,0.7947565543071161,0.8772860057062041
catboost_parametric,train,0.8161048689138577,0.8251662255717518,0.8454309865436412,0.8161048689138577,0.910642117639162
catboost_randomforest,test,0.8382022471910112,0.8230992987934003,0.8297358358476038,0.8382022471910112,0.8804046536399673
catboost_randomforest,train,0.848314606741573,0.8358912025016123,0.8432010794424443,0.848314606741573,0.902881860606918
catboost_randomforest_logisticregression,test,0.8009987515605493,0.796833180703018,0.7938423849387846,0.8009987515605493,0.8346247033277846
catboost_randomforest_logisticregression,train,0.8390137328339575,0.83747883162367,0.8362587072370953,0.8390137328339575,0.9129458808810644
catboost_randomforest_naivebayes,test,0.3647940074906367,0.4065644042257655,0.7074009504466285,0.3647940074906367,0.7870691089137256
catboost_randomforest_naivebayes,train,0.4361423220973783,0.4566921992352052,0.8083062256019532,0.4361423220973783,0.9003029166714492
catboost_solo,test,0.8377028714107366,0.8193046463481299,0.8322696614677583,0.8377028714107366,0.8830905346074465
catboost_solo,train,0.8488764044943821,0.8333022325875762,0.8476150515718184,0.8488764044943821,0.9043849045522406
deepgbm_advancedsvm,test,0.7932584269662921,0.7540753908025829,0.7849049553257358,0.7932584269662921,0.7850750259178231
deepgbm_advancedsvm,train,0.8669787765293383,0.8472336669027926,0.8807902727330599,0.8669787765293383,0.932508006739132
deepgbm_advancedsvm_randomforest,test,0.7882646691635455,0.7600234937596065,0.7678088690516702,0.7882646691635455,0.7989126817408587
deepgbm_advancedsvm_randomforest,train,0.8797128589263421,0.8659875142484638,0.8896308154835961,0.8797128589263421,0.9298185536281256
deepgbm_lightgbm_randomforest,test,0.8292134831460675,0.825243307609448,0.8232633180104686,0.8292134831460675,0.8878057036027344
deepgbm_lightgbm_randomforest,train,0.966354556803995,0.9666064225630374,0.9672238353582894,0.966354556803995,0.9943362856973896
deepgbm_parametric,test,0.7732833957553059,0.7643531193168143,0.7592141619772786,0.7732833957553059,0.753529200427179
deepgbm_parametric,train,0.9019350811485642,0.8943824747798713,0.9031874525170952,0.9019350811485642,0.8174335740939461
deepgbm_randomforest,test,0.7867665418227215,0.7593340518418973,0.7630211985268165,0.7867665418227215,0.7918089232537865
deepgbm_randomforest,train,0.8823970037453184,0.8680227513196508,0.8916600388505375,0.8823970037453184,0.8557201415461864
deepgbm_randomforest_naivebayes,test,0.1927590511860174,0.1958417114544749,0.5811472489035218,0.1927590511860174,0.7095776622470054
deepgbm_randomforest_naivebayes,train,0.2636704119850187,0.2300777178576546,0.7910810886309817,0.2636704119850187,0.8602360391944203
deepgbm_solo,test,0.7845193508114856,0.7565478369981755,0.7648461851090202,0.7845193508114856,0.7272169032141048
deepgbm_solo,train,0.8810861423220974,0.8673008585345838,0.890586669782169,0.8810861423220974,0.7725384770975738
knn_solo,test,0.7225967540574282,0.680048267058239,0.6747885289340371,0.7225967540574282,0.644216178094306
knn_solo,train,0.8017478152309613,0.7727450660698357,0.7947647095085266,0.8017478152309613,0.8638852590129859
lightgbm_advancedsvm,test,0.8421972534332085,0.8315075457965337,0.8318442266168561,0.8421972534332085,0.8836594233016312
lightgbm_advancedsvm,train,0.9613607990012484,0.9614828779560408,0.96171948784135,0.9613607990012484,0.991666184823215
lightgbm_advancedsvm_naivebayes,test,0.7410736579275905,0.7556273931784404,0.7781562221094418,0.7410736579275905,0.8230938866893804
lightgbm_advancedsvm_naivebayes,train,0.8866416978776529,0.8936041471896076,0.9195835654126412,0.8866416978776529,0.9850256502814952
lightgbm_advancedsvm_randomforest,test,0.8367041198501872,0.827995836464932,0.8267440750166677,0.8367041198501872,0.882866065591129
lightgbm_advancedsvm_randomforest,train,0.9548064918851435,0.9550205505685722,0.9553999788140806,0.9548064918851435,0.9898062423050872
lightgbm_catboost_advancedsvm,test,0.8456928838951311,0.8322964542723725,0.8374305495946801,0.8456928838951311,0.8882280747074935
lightgbm_catboost_advancedsvm,train,0.9114856429463172,0.9078622795617362,0.9120607663498056,0.9114856429463172,0.9812685068670968
